internal_id,official_code,official_code_normalized,province_code,province_name,region_name,region_type,display_name,geometry_source_name,geometry_source_id,alternative_names,autonomous_status,geometry_available,match_status,notes
gb-22746128B85592790675198,51.01,51.01,51,Bali,Jembrana,Kabupaten,Kabupaten Jembrana,Jembrana,22746128B85592790675198,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B64050318598962,73.04,73.04,73,Sulawesi Selatan,Jeneponto,Kabupaten,Kabupaten Jeneponto,Jeneponto,22746128B64050318598962,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B68650893607060,33.20,33.20,33,Jawa Tengah,Jepara,Kabupaten,Kabupaten Jepara,Jepara,22746128B68650893607060,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B39847330151566,35.17,35.17,35,Jawa Timur,Jombang,Kabupaten,Kabupaten Jombang,Jombang,22746128B39847330151566,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B93097528927367,91.02,91.02,91,Papua Barat,Kaimana,Kabupaten,Kabupaten Kaimana,Kaimana,22746128B93097528927367,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B8837306932395,14.06,14.06,14,Riau,Kampar,Kabupaten,Kabupaten Kampar,Kampar,22746128B8837306932395,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B40136746216216,62.03,62.03,62,Kalimantan Tengah,Kapuas,Kabupaten,Kabupaten Kapuas,Kapuas,22746128B40136746216216,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B82886709098386,61.08,61.08,61,Kalimantan Barat,Kapuas Hulu,Kabupaten,Kabupaten Kapuas Hulu,Kapuas Hulu,22746128B82886709098386,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B60715781377305,51.07,51.07,51,Bali,Karang Asem,Kabupaten,Kabupaten Karang Asem,Karang Asem,22746128B60715781377305,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B38192287274107,33.13,33.13,33,Jawa Tengah,Karanganyar,Kabupaten,Kabupaten Karanganyar,Karanganyar,22746128B38192287274107,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
